word,class,level,meaning,full_sentence,category
approach,noun,b2,"cách tiếp cận, sự tiếp cận",The company is trying a new approach to marketing its products.,Professions
approach,verb,b2,"tiếp cận, lại gần","As the car approached the intersection, the driver slowed down.",Travel
appropriate,adjective,b2,"thích hợp, phù hợp",It's important to wear appropriate clothing for the job interview.,Society & Community
appropriately,adverb,b2,"một cách thích hợp, một cách phù hợp",Please respond to the customer's complaint appropriately and professionally.,Professions
approval,noun,b2,"sự chấp thuận, sự đồng ý",The project requires final approval from the board of directors.,Professions
approve,verb,b2,"chấp thuận, đồng ý",The committee voted to approve the new budget proposal.,Politics & Law
approximately,adverb,b1,"khoảng chừng, xấp xỉ","The journey will take approximately three hours, depending on traffic.",Travel
April,noun,a1,Tháng Tư (tháng thứ tư trong năm).,My birthday is in April.,Calendar & Dates
arbitrary,adjective,c1,"Tùy tiện, độc đoán, không có căn cứ.",The decision to close the park was arbitrary and lacked clear justification.,Politics & Law
architect,noun,a2,Kiến trúc sư (người thiết kế các công trình xây dựng).,The architect presented the blueprints for the new library.,Professions
architectural,adjective,c1,(Thuộc) kiến trúc.,The city is famous for its stunning architectural designs.,Visual Arts
architecture,noun,a2,"Kiến trúc (nghệ thuật và khoa học thiết kế, xây dựng công trình).",Modern architecture often incorporates sustainable materials.,Visual Arts
archive,noun,c1,"Kho lưu trữ, tài liệu lưu trữ.",The museum keeps a vast archive of historical documents and photographs.,Time
area,noun,a1,"Khu vực, vùng, diện tích.",This is a quiet residential area with many parks.,Environment
arena,noun,c1,"Đấu trường, sân vận động; lĩnh vực hoạt động.",The concert will be held in the city's largest indoor arena.,Sports
arguably,adverb,c1,"Có thể cho rằng, có thể tranh cãi là.",He is arguably the best player in the league this season.,General
argue,verb,a2,"Tranh cãi, tranh luận; lập luận.","They often argue about politics, but they remain good friends.",Language Skills
argument,noun,a2,cuộc tranh cãi; lý lẽ,They had a long argument about politics.,Language Skills
arise,verb,b2,"phát sinh, nảy sinh",Problems often arise when people don't communicate clearly.,General
arm,noun,a1,cánh tay,She carried the baby in her arms.,Body & Fitness
arm,verb,c1,trang bị vũ khí,The police were armed with pistols and rifles.,Politics & Law
armed,adjective,b2,có vũ trang,The bank was robbed by an armed gang.,General
arms,noun,b2,vũ khí,The country decided to reduce its spending on arms.,Politics & Law
army,noun,a2,quân đội,My grandfather served in the army during the war.,Politics & Law
around,adverb,a1,"xung quanh, khoảng",The children were running around in the park.,Travel
around,preposition,a1,"quanh, xung quanh",We walked around the lake for an hour.,Environment
arrange,verb,a2,"sắp xếp, bố trí",She needs to arrange the flowers in the vase.,Action Verbs
arrangement,noun,a2,"sự sắp xếp, sự dàn xếp, thỏa thuận",We need to make an arrangement for the meeting next week.,Professions
array,noun,c1,"mảng, dãy, tập hợp lớn",The store offered an impressive array of fresh fruits and vegetables.,Daily Life
arrest,noun,b1,"sự bắt giữ, lệnh bắt giữ",The suspect resisted arrest when the police tried to apprehend him.,Crime & Justice
arrest,verb,b1,"bắt giữ, chặn lại",The police managed to arrest the thief after a short chase.,Crime & Justice
arrival,noun,b1,"sự đến, sự tới nơi",We are waiting for the arrival of the train at platform 3.,Travel
arrive,verb,a1,"đến, tới nơi",The train is expected to arrive at the station in ten minutes.,Places & Directions
arrow,noun,b2,mũi tên,"He shot an arrow from his bow, hitting the target.",Sports
art,noun,a1,nghệ thuật,She enjoys visiting museums to appreciate various forms of art.,Arts & Music
article,noun,a1,"bài báo, điều khoản",I read an interesting article about climate change in the newspaper.,Media & Journalism
articulate,verb,c1,"phát âm rõ ràng, diễn đạt rõ ràng",It's important to articulate your thoughts clearly during a presentation.,Communication
artificial,adjective,b2,"nhân tạo, giả tạo",The company uses artificial intelligence to analyze large datasets.,Computing & Internet
artist,noun,a1,"nghệ sĩ, họa sĩ",Pablo Picasso was a famous Spanish artist.,Arts & Music
artistic,adjective,b2,"thuộc về nghệ thuật, có tính nghệ thuật",She has a very artistic eye for design and color.,Arts & Music
artwork,noun,b2,tác phẩm nghệ thuật,The museum displayed several beautiful pieces of artwork from the Renaissance period.,Arts & Music
as,adverb,a2,"như là, với tư cách là, khi",She works as a teacher at the local school.,Professions
as,conjunction,a2,"khi, trong khi; bởi vì; như là",She sang as she walked down the street.,Grammar
as,preposition,a1,"như là, với tư cách là",He works as a teacher at the local school.,Grammar
ash,noun,c1,"tro, tàn",The fire left a pile of ash in the fireplace.,Environment
ashamed,adjective,b2,"xấu hổ, hổ thẹn",He felt ashamed of his behavior at the party.,Feelings & States
aside,adverb,b2,"sang một bên, để riêng ra",She stepped aside to let him pass.,Travel
ask,verb,a1,"hỏi, yêu cầu",Can I ask you a question about the project?,Communication
asleep,adjective,a2,đang ngủ,The baby fell asleep in her mother's arms.,Grammar
aspect,noun,b2,"khía cạnh, mặt",We need to consider every aspect of the problem before making a decision.,General
aspiration,noun,c1,"khát vọng, hoài bão",Her main aspiration is to become a successful doctor.,General
aspire,verb,c1,"khao khát, mong muốn",Many young athletes aspire to compete in the Olympic Games.,General
assassination,noun,c1,sự ám sát,The assassination of the president shocked the entire nation.,Politics & Law
assault,noun,c1,"cuộc tấn công, sự hành hung",The police are investigating a serious assault that occurred last night.,Politics & Law
assault,verb,c1,"tấn công, hành hung",The gang members were accused of attempting to assault a rival.,General
assemble,verb,c1,lắp ráp; tập hợp,We need to assemble the new furniture according to the instructions.,General
assembly,noun,c1,"sự lắp ráp; cuộc họp, hội đồng",The car's final assembly takes place in the main factory.,General
assert,verb,c1,"khẳng định, xác nhận; đòi hỏi (quyền)",She needs to assert herself more in meetings to make her ideas heard.,Communication
assertion,noun,c1,"sự khẳng định, sự xác nhận; sự đòi hỏi (quyền)",His assertion that he was innocent was met with skepticism by the jury.,Politics & Law
assess,verb,b2,"đánh giá, định giá",The committee will assess the damage caused by the storm.,General
assessment,noun,b2,"sự đánh giá, sự định giá",The teacher's assessment of the student's progress was very positive.,General
asset,noun,b2,"tài sản, của cải; người/vật có giá trị",Her experience in marketing is a valuable asset to the company.,Professions
assign,verb,b2,"giao phó, phân công",The manager will assign tasks to each team member.,Professions
assignment,noun,b1,"nhiệm vụ, bài tập được giao",I have a difficult assignment due by the end of the week.,General
assist,verb,b1,"giúp đỡ, hỗ trợ",The nurse came to assist the doctor during the operation.,Health
assistance,noun,b2,"sự giúp đỡ, sự hỗ trợ",Please ask for assistance if you need help with the heavy boxes.,Daily Life
assistant,adjective,a2,"phụ tá, trợ lý (dùng để mô tả chức vụ)",She works as an assistant editor for a publishing company.,Professions
assistant,noun,a2,"người trợ giúp, trợ lý",My new assistant helps me organize all my meetings.,Professions
associate,verb,b2,"liên kết, kết hợp, gắn liền",Most people associate the color red with love or danger.,Emotions
associated,adjective,b2,"có liên quan, liên kết",There are many risks associated with climbing Mount Everest.,General
association,noun,b2,"sự liên kết, hiệp hội",The local sports association organizes tournaments for children.,General
assume,verb,b2,"cho rằng, giả định",Don't assume anything; always ask for clarification.,Communication
assumption,noun,b2,"sự giả định, sự cho rằng",His assumption that she would help was incorrect.,Grammar
assurance,noun,c1,"sự đảm bảo, sự cam đoan; sự tự tin",The company gave an assurance that the product was safe.,Professions
assure,verb,b2,"đảm bảo, cam đoan",I can assure you that the information is accurate.,Communication
astonishing,adjective,b2,"đáng kinh ngạc, gây ngạc nhiên lớn",The view from the mountain top was absolutely astonishing.,Emotions
asylum,noun,c1,"nơi trú ẩn, nơi tị nạn; bệnh viện tâm thần (cũ)",Many people seek political asylum in other countries.,Politics & Law
at,preposition,a1,"tại, ở",She is waiting for you at the bus stop.,Travel
athlete,noun,a2,vận động viên,The athlete trained every day for the Olympics.,Sports
atmosphere,noun,b1,khí quyển; không khí (tâm trạng),The Earth's atmosphere protects us from harmful radiation.,Science
atrocity,noun,c1,"sự tàn bạo, hành động tàn ác",The war was marked by numerous atrocities against civilians.,General
attach,verb,b1,"gắn vào, đính kèm",Please attach your resume to the application form.,Communication
attachment,noun,b2,tệp đính kèm; sự gắn bó,Please find the report as an attachment to this email.,Communication
